T(K) logP(GPa) logrho(g/cm^3) logE(MJ/kg) S(MJ/kg/K)
200 -1.9176418 -1.86843841 0.28899006 0.03924108
200 -1.8751447 -1.82966495 0.2878597 0.0388169
200 -1.83264759 -1.79130212 0.28660119 0.03839176
200 -1.79015048 -1.75338847 0.2851953 0.03796567
200 -1.74765338 -1.71596926 0.28364305 0.03753859
200 -1.70515627 -1.67910372 0.28198654 0.03711029
200 -1.66265916 -1.6428527 0.28027298 0.03668058
200 -1.62016206 -1.60727702 0.27854947 0.03624926
200 -1.57766495 -1.57243716 0.27686146 0.03581618
200 -1.53516785 -1.53838556 0.27521693 0.03538175
200 -1.49267074 -1.50516724 0.27358884 0.03494692
200 -1.45017363 -1.47282691 0.27194898 0.03451259
200 -1.40767653 -1.44140921 0.27026907 0.03407965
200 -1.36517942 -1.4109554 0.26852201 0.03364893
200 -1.32268232 -1.38148146 0.26669086 0.03322115
200 -1.28018521 -1.35299291 0.26476267 0.03279697
200 -1.2376881 -1.32549526 0.26272457 0.03237702
200 -1.195191 -1.29899387 0.26056373 0.03196191
200 -1.15269389 -1.27348383 0.2582971 0.03155188
200 -1.11019679 -1.24893103 0.25602625 0.0311463
200 -1.06769968 -1.22529605 0.25386793 0.0307444
200 -1.02520257 -1.20253943 0.2519388 0.03034543
200 -0.98270547 -1.18062183 0.25035527 0.02994869
200 -0.94020836 -1.15950581 0.24921815 0.02955359
200 -0.89771125 -1.13915626 0.24860859 0.02915965
200 -0.85521415 -1.11953833 0.24860645 0.02876643
200 -0.81271704 -1.10061715 0.24929156 0.02837352
200 -0.77021994 -1.08235783 0.25074119 0.02798053
200 -0.72772283 -1.06472573 0.2530058 0.0275872
200 -0.68522572 -1.04768632 0.25612018 0.02719336
200 -0.64272862 -1.03120502 0.2601189 0.02679884
200 -0.60023151 -1.01524726 0.26503644 0.02640348
200 -0.55773441 -0.99977713 0.27089752 0.02600729
200 -0.5152373 -0.98475305 0.27768695 0.02561079
200 -0.47274019 -0.97013205 0.2853794 0.02521462
200 -0.43024309 -0.95587119 0.29394961 0.02481938
200 -0.38774598 -0.94192753 0.30337223 0.02442568
200 -0.34524888 -0.92826219 0.3136289 0.024034
200 -0.30275177 -0.9148435 0.32471345 0.02364474
200 -0.26025466 -0.90164038 0.33662084 0.02325825
200 -0.21775756 -0.88862182 0.34934605 0.02287486
200 -0.17526045 -0.87575753 0.3628854 0.0224949
200 -0.13276335 -0.86302829 0.3772549 0.02211843
200 -0.09026624 -0.8504265 0.39248267 0.02174539
200 -0.04776913 -0.83794495 0.40859878 0.0213759
200 -0.00527203 -0.82555144 0.42566851 0.02100976
200 0.03722508 -0.81325509 0.44368303 0.02064691
200 0.07972219 -0.8010534 0.46267252 0.02028712
200 0.12221929 -0.78892938 0.4826702 0.01993086
200 0.1647164 -0.77684504 0.5037725 0.01957706
200 0.2072135 -0.7648253 0.52587937 0.01922617
200 0.23487762 Nan Nan Nan
200 0.26254173 Nan Nan Nan
200 0.29020584 Nan Nan Nan
200 0.31786996 Nan Nan Nan
200 0.34553407 Nan Nan Nan
200 0.37319818 Nan Nan Nan
200 0.4008623 Nan Nan Nan
200 0.42852641 Nan Nan Nan
200 0.45619052 Nan Nan Nan
200 0.48385463 Nan Nan Nan
200 0.51151875 Nan Nan Nan
200 0.53918286 Nan Nan Nan
200 0.56684697 Nan Nan Nan
200 0.59451109 Nan Nan Nan
200 0.6221752 Nan Nan Nan
200 0.64983931 Nan Nan Nan
200 0.67750343 Nan Nan Nan
200 0.70516754 Nan Nan Nan
200 0.73283165 Nan Nan Nan
200 0.76049577 Nan Nan Nan
200 0.78815988 Nan Nan Nan
200 0.81582399 Nan Nan Nan
200 0.84348811 Nan Nan Nan
200 0.87115222 Nan Nan Nan
200 0.89881633 Nan Nan Nan
200 0.92648044 Nan Nan Nan
200 0.95414456 Nan Nan Nan
200 0.98180867 Nan Nan Nan
200 1.00947278 Nan Nan Nan
200 1.0371369 Nan Nan Nan
200 1.06480101 Nan Nan Nan
200 1.09246512 Nan Nan Nan
200 1.12012924 Nan Nan Nan
200 1.14779335 Nan Nan Nan
200 1.17545746 Nan Nan Nan
200 1.20312158 Nan Nan Nan
200 1.23078569 Nan Nan Nan
200 1.2584498 Nan Nan Nan
200 1.28611392 Nan Nan Nan
200 1.31377803 Nan Nan Nan
200 1.34144214 Nan Nan Nan
200 1.36910626 Nan Nan Nan
200 1.39677037 Nan Nan Nan
200 1.42443448 Nan Nan Nan
200 1.45209859 Nan Nan Nan
200 1.47976271 Nan Nan Nan
200 1.50742682 Nan Nan Nan
200 1.53509093 Nan Nan Nan
200 1.56275505 Nan Nan Nan
200 1.59041916 Nan Nan Nan
200 1.61808327 Nan Nan Nan
200 1.64574739 Nan Nan Nan
200 1.6734115 Nan Nan Nan
200 1.70107561 Nan Nan Nan
200 1.72873973 Nan Nan Nan
200 1.75640384 Nan Nan Nan
200 1.78406795 Nan Nan Nan
200 1.81173207 Nan Nan Nan
200 1.83939618 Nan Nan Nan
200 1.86706029 Nan Nan Nan
200 1.8947244 Nan Nan Nan
200 1.92238852 Nan Nan Nan
200 1.95005263 Nan Nan Nan
200 1.97771674 Nan Nan Nan
200 2.00538086 Nan Nan Nan
200 2.03304497 Nan Nan Nan
200 2.06070908 Nan Nan Nan
200 2.0883732 Nan Nan Nan
200 2.11603731 Nan Nan Nan
200 2.14370142 Nan Nan Nan
200 2.17136554 Nan Nan Nan
200 2.19902965 Nan Nan Nan
200 2.22669376 Nan Nan Nan
200 2.25435788 Nan Nan Nan
200 2.28202199 Nan Nan Nan
200 2.3096861 Nan Nan Nan
200 2.33735021 Nan Nan Nan
200 2.36501433 Nan Nan Nan
200 2.39267844 Nan Nan Nan
200 2.42034255 Nan Nan Nan
200 2.44800667 Nan Nan Nan
200 2.47567078 Nan Nan Nan
200 2.50333489 Nan Nan Nan
200 2.53099901 Nan Nan Nan
200 2.55866312 Nan Nan Nan
200 2.58632723 Nan Nan Nan
200 2.61399135 Nan Nan Nan
200 2.64165546 Nan Nan Nan
200 2.66931957 Nan Nan Nan
200 2.69698369 Nan Nan Nan
200 2.7246478 Nan Nan Nan
200 2.75231191 Nan Nan Nan
200 2.77997602 Nan Nan Nan
200 2.80764014 Nan Nan Nan
200 2.83530425 Nan Nan Nan
200 2.86296836 Nan Nan Nan
200 2.89063248 Nan Nan Nan
200 2.91829659 Nan Nan Nan
200 2.9459607 Nan Nan Nan
200 2.97312785 Nan Nan Nan
200 3.00236903 Nan Nan Nan
200 3.02976498 Nan Nan Nan
200 3.05553482 Nan Nan Nan
200 3.07986082 Nan Nan Nan
200 3.10289622 Nan Nan Nan
200 3.12477111 Nan Nan Nan
200 3.14559681 Nan Nan Nan
200 3.1654694 Nan Nan Nan
